tool	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
Metabuli	family	0.290733359966106	0.834582051969694	0.352986376296168	28.2	489.8	0.214474319022416	0.567781894875474	0.224140565852707	3.60988365313391	0.55986230011431	0.95374172637252	631.3	141.5				
SingleM	genus	0.0498500829851137	0.99405003381262	0.996689750388519	1.8	0.2	0.993415698660719	0.0972149649103241	0.999363822718598	4.5401943417955	0.79198686309978	0.950721202547066	310.4	310.2				
MetaPhlAn	genus	0.153291138498711	0.879299641564771	0.935766186518524	37.8	0	0.879299641564771	0.306582276997422	1	4.65992909705466	0.830769235656895	1	274.2	274.2				
Kraken2	genus	0.215282585267068	0.966029630569053	0.545423073164679	10.6	492.5	0.376191016373925	0.429857743875124	0.381301680390682	4.57789621658938	0.685909311583435	0.996700000000007	793.9	301.4				
sourmash	genus	0.255303536548442	0.643209227162967	0.781908668844031	112	0.2	0.642788677915445	0.50513163573748	0.999023553787897	4.34713850901236	0.820732508570375	0.978789525402955	200.2	200				
Metabuli	genus	0.388351215851693	0.695762267228048	0.172092719400468	95.1	1989.1	0.0942146368153989	0.749384887646442	0.0983214694461405	4.57600730231836	0.59436738111911	0.931118416572847	2206	216.9				
SingleM	species	0.151708618094504	0.866676150789579	0.902865334189286	61.1	24.2	0.823030179304377	0.284093163406078	0.942375041584865	4.55417976458325	0.755307874226153	0.874240332613832	418.7	394.5				
MetaPhlAn	species	0.219623074042023	0.789501894071781	0.842164131605646	96.2	38.8	0.727376004859027	0.439246148084047	0.902386427804889	5.04195509091351	0.843123475881023	1	398.2	359.4				
Kraken2	species	0.268570399008783	0.987631129622093	0.242724381455035	5.7	2794.3	0.138267332265141	0.533993256607307	0.138512272203676	5.58889921417389	0.691404791637098	0.988245000000017	3244.2	449.9				
sourmash	species	0.312308323833179	0.58786895835572	0.729931152090597	189.1	9.4	0.575610284260899	0.601964688033555	0.965414870717621	4.62257845205983	0.823060536453399	0.927464661041634	275.9	266.5				
Metabuli	species	0.654107258383076	0.444404793779274	0.0824166412108832	253.6	4239.1	0.0429989886974766	1.45641589401842	0.0454925786427233	6.68361004814048	0.79580120788028	1.23180156369328	4441.1	202				
SingleM															1080.8	0.314195174429062	0.594585128992872	0.00431651513431125
MetaPhlAn															595.2	0.145926767366939	1.52073667191041	0.0121065679914348
Kraken2															23533.075396	6.78671837554813	2.2569601146596	0.0192552350433812
sourmash															1277.63966604317	0.339592155869976	2.51529020404691	0.0211100099586891
Metabuli															39062.3130151009	11.3147197590041	4.06455378126212	0.0316148280552097
